pl_name,default_flag,discoverymethod,disc_year,disc_facility,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_eqt,pl_eqterr1,pl_eqterr2,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,st_rotp,st_rotperr1,st_rotperr2
TOI-5238 b,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,4.872171,,,0.0,,,,,5.22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5631.0,141.47,-99.75,0.0,1.02,0.05,-0.05,0.0,1.0,0.09,-0.16,0.0,4.42,0.09,-0.06,0.0,14h53m26.13s,223.3588909,+68d51m34.10s,68.859472,290.646,1.547,-1.532,12.214,0.046,-0.046,11.009,0.019,-0.019,10.694,0.017,-0.017,10.627,0.016,-0.016,,,
HAT-P-59 b,1,Transit,2021,HATNet,1,4.1419771,1.2e-06,-1.2e-06,0.0,0.05064,0.00037,-0.00037,0.0,12.588,0.146,-0.146,0.0,489.45575,21.2945,-21.2945,0.0,Mass,0.03,,,1.0,441.4,8.9,-8.9,0.0,85.18,0.1,-0.1,0.0,0.8299,0.0077,-0.0089,0.0,2.339,0.023,-0.023,0.0,9.87,0.12,-0.12,0.0,0.10452,0.00096,-0.00096,0.0,1277.8,6.5,-6.5,5678.0,16.0,-16.0,0.0,1.1,0.01,-0.01,0.0,1.01,0.02,-0.02,0.0,4.36,0.01,-0.01,0.0,19h29m50.12s,292.4588212,+62d31m45.08s,62.5291892,265.471,1.374,-1.36,11.64,0.034,-0.034,10.581,0.02,-0.02,10.268,0.018,-0.018,10.208,0.022,-0.022,,,
XO-5 b,1,Transit,2008,XO,1,4.1877558,6e-07,-6e-07,0.0,0.0515,0.0005,-0.0005,0.0,12.78,0.34,-0.34,0.0,378.2,9.53,-9.53,0.0,Mass,0.0,,,0.0,,,,,86.8,0.2,-0.2,0.0,0.55,0.03,-0.03,0.0,3.1176,0.0168,-0.0168,0.0,,,,,0.1039,0.0007,-0.0007,0.0,1230.0,20.0,-20.0,5430.0,70.0,-70.0,0.0,1.13,0.03,-0.03,0.0,1.04,0.03,-0.03,0.0,4.35,0.02,-0.02,0.0,07h46m51.93s,116.7163868,+39d05m40.09s,39.0944695,276.211,3.919,-3.812,12.198,0.092,-0.092,10.774,0.019,-0.019,10.443,0.021,-0.021,10.345,0.018,-0.018,,,
Kepler-37 c,1,Transit,2013,Kepler,1,21.302,,,0.0,,,,,0.75,0.03,-0.03,0.0,12.0,,,1.0,Mass,,,,,,,,,,,,,0.43,0.02,-0.02,0.0,,,,,,,,,0.00891,,,0.0,,,,5417.0,75.0,-75.0,0.0,0.77,0.03,-0.03,0.0,0.8,0.07,-0.07,0.0,4.57,0.05,-0.05,0.0,18h56m14.22s,284.0592503,+44d31m06.14s,44.5183733,63.9207,0.1196,-0.1191,9.770001,0.004,-0.004,8.356,0.018,-0.018,8.0,0.024,-0.024,7.942,0.013,-0.013,,,
Kepler-37 b,1,Transit,2013,Kepler,1,13.36731,7.1e-05,-7.1e-05,0.0,,,,,0.296,0.037,-0.037,0.0,3.1783,3.1783,-3.1783,0.0,Mass,0.0,,,0.0,,,,,88.63,0.41,-0.41,0.0,,,,,,,,,28.68,1.26,-1.26,0.0,,,,,,,,5417.0,75.0,-75.0,0.0,0.79,0.03,-0.03,0.0,0.87,0.15,-0.15,0.0,4.57,0.01,-0.01,0.0,18h56m14.22s,284.0592503,+44d31m06.14s,44.5183733,63.9207,0.1196,-0.1191,9.770001,0.004,-0.004,8.356,0.018,-0.018,8.0,0.024,-0.024,7.942,0.013,-0.013,,,
TOI-1431 b,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,2.650237,3e-06,-3e-06,0.0,0.046,0.002,-0.002,0.0,16.701,0.56,-0.56,0.0,991.62463,57.20911,-57.20911,0.0,Mass,0.0022,0.003,-0.0016,0.0,5300.0,500.0,-470.0,0.0,80.13,0.13,-0.13,0.0,0.881,0.004,-0.004,0.0,2.489,0.009,-0.009,0.0,5.15,0.05,-0.05,0.0,0.07955,0.00063,-0.00053,0.0,2370.0,70.0,-70.0,7690.0,400.0,-250.0,0.0,1.92,0.07,-0.07,0.0,1.9,0.1,-0.08,0.0,4.15,0.04,-0.04,0.0,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,148.925,1.034,-1.02,8.03,0.03,-0.03,7.541,0.029,-0.029,7.452,0.044,-0.044,7.439,0.029,-0.029,,,
TOI-3023 b,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,3.9014971,3.1e-06,-3.1e-06,0.0,0.0505,0.0015,-0.0009,0.0,16.432,0.482,-0.359,0.0,197.05361,31.78284,-28.60456,0.0,Mass,0.0,,,0.0,1084.0,68.0,-65.0,0.0,88.9,0.8,-1.0,0.0,0.13,0.11,-0.09,0.0,4.961,0.024,-0.022,0.0,6.53,0.06,-0.13,0.0,,,,,1596.0,24.0,-25.0,5760.0,85.0,-88.0,0.0,1.67,0.05,-0.03,0.0,1.12,0.11,-0.06,0.0,4.05,0.02,-0.02,0.0,11h01m15.80s,165.3158231,-72d21m24.14s,-72.3567044,389.916,3.196,-3.146,12.252,0.08,-0.08,10.68,0.024,-0.024,10.312,0.023,-0.023,10.243,0.023,-0.023,,,
XO-4 b,1,Transit,2008,XO,1,4.12508,4e-06,-4e-06,0.0,,,,,14.011,0.897,-0.897,0.0,451.3186,60.3877,-60.3877,0.0,Mass,0.0,,,0.0,,,,,88.8,0.6,-0.6,0.0,,,,,,,,,7.68,0.11,-0.11,0.0,,,,,,,,6397.0,70.0,-70.0,0.0,1.45,0.09,-0.09,0.0,1.1,0.22,-0.22,0.0,4.18,0.03,-0.03,0.0,07h21m33.13s,110.3880285,+58d16m05.19s,58.2681094,272.655,2.914,-2.855,10.814,0.008,-0.008,9.667,0.021,-0.021,9.476,0.022,-0.022,9.406,0.023,-0.023,,,
TOI-2158 b,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,8.60077,3e-05,-3e-05,0.0,0.075,0.004,-0.004,0.0,10.761,0.135,-0.135,0.0,260.61929,25.42627,-25.42627,0.0,Mass,0.07,,,1.0,,,,,85.7,0.4,-0.3,0.0,0.86,0.02,-0.03,0.0,3.77,0.05,-0.06,0.0,11.4,0.6,-0.5,0.0,0.07,0.0009,-0.0009,0.0,1188.0,10.0,-10.0,5673.0,50.0,-50.0,0.0,1.41,0.03,-0.03,0.0,1.12,0.12,-0.12,0.0,4.19,0.05,-0.05,0.0,18h27m14.41s,276.8100527,+20d31m36.79s,20.5268868,198.473,1.403,-1.383,10.887,0.006,-0.006,9.469,0.027,-0.027,9.172,0.044,-0.044,9.071,0.018,-0.018,19.0,3.0,-3.0
Kepler-450 d,1,Transit,2015,Kepler,1,7.51464,0.00023,-0.00023,0.0,,,,,0.837,0.068,-0.068,0.0,,,,,,0.14,0.24,-0.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197.21,130.15,-187.39,0.0,1.64,0.08,-0.11,0.0,1.19,0.2,-0.14,0.0,4.08,0.11,-0.08,0.0,19h41m56.78s,295.4865821,+51d00m48.69s,51.0135237,455.982,5.189,-5.074,11.991,0.029,-0.029,10.708,0.019,-0.019,10.472,0.018,-0.018,10.429,0.017,-0.017,,,
